STUDYNO,EDITION,PART,IDNO,FIPS_ST,FIPS_CTY,SPOPARST,SPOPCRIM,CPOPCRIM,AG_ARRST,AG_OFF,COVIND,SVIOL,SPROPERTY,SMURDER,SRAPE,SROBBERY,SAGASSLT,SBURGLRY,SLARCENY,SMVTHEFT,SARSON
9999,1,8,1,1,1,4863300,4816193,54499,3,3,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,2,1,3,4863300,4816193,207584,14,14,99.5843,0,0,0,0,0,0,0,0,0,0
9999,1,8,3,1,5,4863300,4816193,25778,5,4,93.9483,0,0,0,0,0,0,0,0,0,0
9999,1,8,4,1,7,4863300,4816193,22474,4,5,96.0087,0,0,0,0,0,0,0,0,0,0
9999,1,8,5,1,9,4863300,4816193,57565,6,6,98.1104,0,0,0,0,0,0,0,0,0,0
9999,1,8,6,1,11,4863300,4816193,10634,2,2,94.7307,0,0,0,0,0,0,0,0,0,0
9999,1,8,7,1,13,4863300,4816193,19952,4,4,97.484,0,0,0,0,0,0,0,0,0,0
9999,1,8,8,1,15,4863300,4816193,114022,9,10,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,9,1,17,4863300,4816193,34047,4,4,97.8052,0,0,0,0,0,0,0,0,0,0
9999,1,8,10,1,19,4863300,4816193,25774,4,5,99.4119,0,0,0,0,0,0,0,0,0,0
9999,1,8,11,1,21,4863300,4816193,43894,5,6,99.5907,0,0,0,0,0,0,0,0,0,0
9999,1,8,12,1,23,4863300,4816193,13009,3,3,84.3147,0,0,0,0,0,0,0,0,0,0
9999,1,8,13,1,25,4863300,4816193,24405,4,4,98.9886,0,0,0,0,0,0,0,0,0,0
9999,1,8,14,1,27,4863300,4816193,13459,3,3,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,15,1,29,4863300,4816193,14991,3,3,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,16,1,31,4863300,4816193,51299,5,5,99.9123,0,0,0,0,0,0,0,0,0,0
9999,1,8,17,1,33,4863300,4816193,54192,8,8,83.7677,0,0,0,0,0,0,0,0,0,0
9999,1,8,18,1,35,4863300,4816193,12538,3,4,93.5569,0,0,0,0,0,0,0,0,0,0
9999,1,8,19,1,37,4863300,4816193,10504,2,2,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,20,1,39,4863300,4816193,37753,9,8,96.6638,0,0,0,0,0,0,0,0,0,0
9999,1,8,21,1,41,4863300,4816193,13619,4,3,80.2188,0,0,0,0,0,0,0,0,0,0
9999,1,8,22,1,43,4863300,4816193,82120,4,5,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,23,1,45,4863300,4816193,47974,10,10,98.6529,0,0,0,0,0,0,0,0,0,0
9999,1,8,24,1,47,4863300,4816193,40520,3,2,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,25,1,49,4863300,4816193,68618,14,12,98.1662,0,0,0,0,0,0,0,0,0,0
9999,1,8,26,1,51,4863300,4816193,81680,7,7,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,27,1,53,4863300,4816193,37596,5,5,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,28,1,55,4863300,4816193,100963,11,10,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,29,1,57,4863300,4816193,16626,3,4,51.9989,0,0,0,0,0,0,0,0,0,0
9999,1,8,30,1,59,4863300,4816193,31328,5,4,96.0004,0,0,0,0,0,0,0,0,0,0
9999,1,8,31,1,61,4863300,4816193,26710,5,6,99.9978,0,0,0,0,0,0,0,0,0,0
9999,1,8,32,1,63,4863300,4816193,8358,2,2,97.2721,0,0,0,0,0,0,0,0,0,0
9999,1,8,33,1,65,4863300,4816193,14903,3,3,89.4115,0,0,0,0,0,0,0,0,0,0
9999,1,8,34,1,67,4863300,4816193,17166,4,5,96.9941,0,0,0,0,0,0,0,0,0,0
9999,1,8,35,1,69,4863300,4816193,104082,9,8,98.6073,0,0,0,0,0,0,0,0,0,0
9999,1,8,36,1,71,4863300,4816193,21551,7,6,90.8871,0,0,0,0,0,0,0,0,0,0
9999,1,8,37,1,73,4863300,4816193,659241,32,32,96.3727,0,0,0,0,0,0,0,0,0,0
