crime_type,agency_name,county,state,state_name,latitude,longitude,age 0-9,age 10-19,age 20-29,age 30-39,age 40-49,age 50-59,age 60-69,age 70-79,age 80-89,age 90-Older,age Unknown,total_crimes
property-crime,Milford Police Department,KENT; SUSSEX,DE,Delaware,38.91612,-75.42161,2,73,151,89,67,47,6,2,0,0,113,550
violent-crime,Milford Police Department,KENT; SUSSEX,DE,Delaware,38.91612,-75.42161,2,32,30,14,4,3,0,0,0,0,20,105
property-crime,Laurel Police Department,SUSSEX,DE,Delaware,38.677510999999996,-75.335495,1,27,58,24,9,5,1,3,1,0,42,171
violent-crime,Laurel Police Department,SUSSEX,DE,Delaware,38.677510999999996,-75.335495,0,24,22,9,4,1,0,0,0,0,6,66
property-crime,Bridgeville Police Department,SUSSEX,DE,Delaware,38.744175,-75.599144,0,0,5,5,3,1,0,0,0,0,18,32
violent-crime,Bridgeville Police Department,SUSSEX,DE,Delaware,38.744175,-75.599144,0,5,0,1,1,0,0,0,0,0,1,8
property-crime,Dewey Beach Police Department,SUSSEX,DE,Delaware,38.709568,-75.078224,0,3,2,2,0,1,0,0,0,0,7,15
violent-crime,Dewey Beach Police Department,SUSSEX,DE,Delaware,38.709568,-75.078224,0,0,7,1,2,0,0,0,0,0,3,13
property-crime,Blades Police Department,SUSSEX,DE,Delaware,38.633743,-75.6098,0,5,3,5,0,4,1,0,0,0,15,33
violent-crime,Blades Police Department,SUSSEX,DE,Delaware,38.633743,-75.6098,0,0,4,1,0,3,0,0,0,0,2,10
property-crime,Environmental Control,KENT,DE,Delaware,39.164383,-75.51841999999999,0,0,0,0,0,1,1,0,0,0,2,4
property-crime,State Police: Kent County,KENT,DE,Delaware,39.097088,-75.50298199999999,2,172,299,213,109,47,22,11,4,0,225,1104
violent-crime,State Police: Kent County,KENT,DE,Delaware,39.097088,-75.50298199999999,0,70,104,68,23,18,8,0,1,0,41,333
property-crime,Rehoboth Beach Police Department,SUSSEX,DE,Delaware,38.715996000000004,-75.08348000000001,0,29,23,9,5,5,4,2,0,0,33,110
violent-crime,Rehoboth Beach Police Department,SUSSEX,DE,Delaware,38.715996000000004,-75.08348000000001,0,1,3,0,2,1,0,0,0,0,4,11
property-crime,Elsmere Police Department,NEW CASTLE,DE,Delaware,39.739624,-75.60179000000001,0,17,25,20,5,4,0,0,0,0,19,90
violent-crime,Elsmere Police Department,NEW CASTLE,DE,Delaware,39.739624,-75.60179000000001,0,2,5,3,2,0,0,0,0,0,5,17
property-crime,Delaware City Police Department,NEW CASTLE,DE,Delaware,39.57391,-75.59376,0,13,12,6,4,0,0,1,0,0,0,36
violent-crime,Delaware City Police Department,NEW CASTLE,DE,Delaware,39.57391,-75.59376,0,0,7,2,3,0,0,0,0,0,0,12
property-crime,Delaware State University,KENT,DE,Delaware,39.097088,-75.50298199999999,0,24,17,3,0,2,0,0,0,0,38,84
violent-crime,Delaware State University,KENT,DE,Delaware,39.097088,-75.50298199999999,0,4,6,0,0,0,0,0,0,0,5,15
property-crime,River and Bay Authority,NEW CASTLE,DE,Delaware,39.575915,-75.644132,0,0,3,0,0,0,0,0,0,0,2,5
violent-crime,River and Bay Authority,NEW CASTLE,DE,Delaware,39.575915,-75.644132,0,0,0,2,0,0,0,0,0,0,1,3
property-crime,New Castle County Police Department,NEW CASTLE,DE,Delaware,39.707096,-75.56667,10,572,625,428,185,50,9,0,0,0,733,2612
violent-crime,New Castle County Police Department,NEW CASTLE,DE,Delaware,39.707096,-75.56667,3,208,281,152,77,62,8,2,0,0,158,951
property-crime,Wilmington Fire Department,NEW CASTLE,DE,Delaware,39.73873,-75.548965,0,0,0,1,0,0,1,0,0,0,1,3
property-crime,Newark Police Department,NEW CASTLE,DE,Delaware,39.575915,-75.644132,0,60,139,75,51,18,3,0,0,0,135,481
violent-crime,Newark Police Department,NEW CASTLE,DE,Delaware,39.575915,-75.644132,0,22,49,17,12,5,1,0,0,0,29,135
property-crime,South Bethany Police Department,SUSSEX,DE,Delaware,38.677510999999996,-75.335495,0,0,0,2,0,0,1,0,0,0,6,9
property-crime,Frederica Police Department,KENT,DE,Delaware,39.097088,-75.50298199999999,0,0,1,0,0,1,0,0,0,0,0,2
violent-crime,Frederica Police Department,KENT,DE,Delaware,39.097088,-75.50298199999999,0,0,0,0,0,0,0,0,0,0,1,1
property-crime,Bethany Beach Police Department,SUSSEX,DE,Delaware,38.677510999999996,-75.335495,0,35,6,0,3,6,1,0,0,0,12,63
violent-crime,Bethany Beach Police Department,SUSSEX,DE,Delaware,38.677510999999996,-75.335495,0,8,0,0,2,0,0,0,0,0,0,10
property-crime,Harrington Police Department,KENT,DE,Delaware,38.924095,-75.57956999999999,1,40,31,15,6,4,1,3,0,0,29,130
violent-crime,Harrington Police Department,KENT,DE,Delaware,38.924095,-75.57956999999999,1,13,6,1,3,0,0,0,0,0,3,27
property-crime,Fenwick Island Police Department,SUSSEX,DE,Delaware,38.677510999999996,-75.335495,0,0,1,1,3,0,1,0,0,0,3,9
property-crime,Greenwood Police Department,SUSSEX,DE,Delaware,38.677510999999996,-75.335495,0,2,3,4,2,0,0,0,0,0,6,17
violent-crime,Greenwood Police Department,SUSSEX,DE,Delaware,38.677510999999996,-75.335495,0,1,1,0,1,1,0,0,0,0,0,4
property-crime,Park Rangers,KENT,DE,Delaware,39.097088,-75.50298199999999,0,12,8,22,5,13,1,0,0,0,19,80
violent-crime,Park Rangers,KENT,DE,Delaware,39.097088,-75.50298199999999,0,0,3,1,0,0,0,0,0,0,3,7
property-crime,Clayton Police Department,KENT,DE,Delaware,39.097088,-75.50298199999999,0,3,7,4,0,3,0,0,0,0,3,20
violent-crime,Clayton Police Department,KENT,DE,Delaware,39.097088,-75.50298199999999,0,6,6,4,0,1,0,0,0,0,0,17
property-crime,Selbyville Police Department,SUSSEX,DE,Delaware,38.677510999999996,-75.335495,0,8,11,5,5,4,1,0,0,0,16,50
violent-crime,Selbyville Police Department,SUSSEX,DE,Delaware,38.677510999999996,-75.335495,0,2,1,5,2,0,0,0,0,0,2,12
property-crime,Camden Police Department,KENT,DE,Delaware,39.11345,-75.54225,1,5,49,35,39,12,1,0,0,0,31,173
violent-crime,Camden Police Department,KENT,DE,Delaware,39.11345,-75.54225,0,5,11,1,0,1,0,0,0,0,9,27
property-crime,Lewes Police Department,SUSSEX,DE,Delaware,38.677510999999996,-75.335495,1,10,4,12,4,4,3,0,0,0,9,47
violent-crime,Lewes Police Department,SUSSEX,DE,Delaware,38.677510999999996,-75.335495,0,0,2,1,0,1,1,0,0,0,0,5
property-crime,Delmar Police Department,SUSSEX,DE,Delaware,38.677510999999996,-75.335495,0,14,12,2,8,3,0,1,0,0,15,55
violent-crime,Delmar Police Department,SUSSEX,DE,Delaware,38.677510999999996,-75.335495,0,2,1,2,0,0,0,0,0,0,3,8
property-crime,Attorney General: Sussex County,SUSSEX,DE,Delaware,38.690628000000004,-75.385086,0,0,0,0,0,0,0,0,0,0,1,1
property-crime,State Capitol Police,KENT,DE,Delaware,39.097088,-75.50298199999999,0,3,0,0,0,0,0,0,0,0,6,9
violent-crime,State Capitol Police,KENT,DE,Delaware,39.097088,-75.50298199999999,0,0,1,1,0,1,0,0,0,0,0,3
property-crime,Seaford Police Department,SUSSEX,DE,Delaware,38.65286,-75.61424,0,47,114,92,63,39,8,1,0,0,97,461
violent-crime,Seaford Police Department,SUSSEX,DE,Delaware,38.65286,-75.61424,0,21,21,12,4,1,1,0,0,0,15,75
property-crime,Milton Police Department,SUSSEX,DE,Delaware,38.77769,-75.31031,0,6,16,5,2,3,0,1,0,0,9,42
violent-crime,Milton Police Department,SUSSEX,DE,Delaware,38.77769,-75.31031,0,2,1,0,0,2,1,1,0,0,0,7
property-crime,Newport Police Department,NEW CASTLE,DE,Delaware,39.575915,-75.644132,0,2,2,5,2,1,0,1,0,0,7,20
violent-crime,Newport Police Department,NEW CASTLE,DE,Delaware,39.575915,-75.644132,0,0,6,0,0,0,0,0,0,0,6,12
property-crime,Wyoming Police Department,KENT,DE,Delaware,39.118744,-75.55912,0,1,1,4,1,0,0,0,0,0,2,9
violent-crime,Wyoming Police Department,KENT,DE,Delaware,39.118744,-75.55912,0,2,3,0,2,0,0,0,0,0,0,7
property-crime,Middletown Police Department,NEW CASTLE,DE,Delaware,39.44838,-75.71802,1,94,175,112,44,20,3,0,0,0,77,526
violent-crime,Middletown Police Department,NEW CASTLE,DE,Delaware,39.44838,-75.71802,0,29,34,13,7,6,1,0,0,0,21,111
property-crime,New Castle Police Department,NEW CASTLE,DE,Delaware,39.575915,-75.644132,0,20,26,42,23,7,3,0,1,0,64,186
violent-crime,New Castle Police Department,NEW CASTLE,DE,Delaware,39.575915,-75.644132,0,3,6,3,3,4,0,0,0,0,6,25
property-crime,Wilmington Police Department,NEW CASTLE,DE,Delaware,39.73873,-75.548965,18,366,360,296,161,84,14,1,0,0,481,1781
violent-crime,Wilmington Police Department,NEW CASTLE,DE,Delaware,39.73873,-75.548965,4,304,399,203,64,50,10,2,0,0,420,1456
property-crime,Ocean View Police Department,SUSSEX,DE,Delaware,38.677510999999996,-75.335495,0,5,3,5,1,2,3,0,0,0,3,22
violent-crime,Ocean View Police Department,SUSSEX,DE,Delaware,38.677510999999996,-75.335495,0,2,0,0,0,0,0,0,0,0,1,3
property-crime,Frankford Police Department,SUSSEX,DE,Delaware,38.677510999999996,-75.335495,0,0,2,0,3,0,0,0,0,0,6,11
violent-crime,Frankford Police Department,SUSSEX,DE,Delaware,38.677510999999996,-75.335495,0,1,0,0,0,0,0,0,0,0,0,1
property-crime,Kenton Police Department,KENT,DE,Delaware,39.097088,-75.50298199999999,0,0,0,0,0,0,0,0,0,0,1,1
property-crime,State Police: Sussex County,SUSSEX,DE,Delaware,38.677510999999996,-75.335495,6,270,761,517,199,110,44,6,1,0,453,2367
violent-crime,State Police: Sussex County,SUSSEX,DE,Delaware,38.677510999999996,-75.335495,3,108,120,83,53,48,13,3,3,0,59,493
property-crime,Cheswold Police Department,KENT,DE,Delaware,39.097088,-75.50298199999999,0,6,7,5,1,2,0,0,0,0,1,22
violent-crime,Cheswold Police Department,KENT,DE,Delaware,39.097088,-75.50298199999999,0,4,0,4,0,1,1,0,0,0,0,10
property-crime,Smyrna Police Department,NEW CASTLE; KENT,DE,Delaware,39.300205,-75.61435,0,24,53,67,22,9,4,1,0,0,31,211
violent-crime,Smyrna Police Department,NEW CASTLE; KENT,DE,Delaware,39.300205,-75.61435,2,18,19,11,5,6,2,0,0,0,12,75
property-crime,Attorney General: Kent County,KENT,DE,Delaware,39.154705,-75.52337,0,1,1,0,0,1,0,0,0,0,0,3
property-crime,Dagsboro Police Department,SUSSEX,DE,Delaware,38.677510999999996,-75.335495,0,1,9,5,3,2,1,0,0,0,0,21
violent-crime,Dagsboro Police Department,SUSSEX,DE,Delaware,38.677510999999996,-75.335495,0,0,3,0,0,1,0,0,0,0,0,4
property-crime,Dover Police Department,KENT,DE,Delaware,39.097088,-75.50298199999999,3,175,308,263,143,84,10,4,0,0,422,1412
violent-crime,Dover Police Department,KENT,DE,Delaware,39.097088,-75.50298199999999,2,79,86,43,26,13,7,1,0,0,41,298
property-crime,Georgetown Police Department,SUSSEX,DE,Delaware,38.694782000000004,-75.3895,0,36,94,83,53,42,4,2,0,0,105,419
violent-crime,Georgetown Police Department,SUSSEX,DE,Delaware,38.694782000000004,-75.3895,0,4,21,8,9,4,0,0,0,0,7,53
property-crime,Fish and Wildlife,KENT,DE,Delaware,39.097088,-75.50298199999999,0,1,3,3,0,1,0,1,0,0,6,15
violent-crime,Fish and Wildlife,KENT,DE,Delaware,39.097088,-75.50298199999999,0,0,0,0,0,1,0,0,0,0,0,1
property-crime,Felton Police Department,KENT,DE,Delaware,39.010940000000005,-75.57476,0,4,4,3,3,3,0,0,0,0,10,27
violent-crime,Felton Police Department,KENT,DE,Delaware,39.010940000000005,-75.57476,0,0,1,0,0,0,0,0,0,0,0,1
property-crime,Millsboro Police Department,SUSSEX,DE,Delaware,38.677510999999996,-75.335495,0,15,31,36,15,14,4,1,1,0,43,160
violent-crime,Millsboro Police Department,SUSSEX,DE,Delaware,38.677510999999996,-75.335495,1,3,6,2,3,1,1,0,0,0,4,21
property-crime,State Fire Marshal,KENT,DE,Delaware,39.168213,-75.588066,6,26,5,10,2,3,1,0,0,0,21,74
violent-crime,State Fire Marshal,KENT,DE,Delaware,39.168213,-75.588066,0,0,0,0,1,0,1,0,0,0,0,2
property-crime,Attorney General: New Castle County,NEW CASTLE,DE,Delaware,39.742977,-75.54729499999999,0,0,1,0,0,0,0,0,0,0,0,1
violent-crime,Attorney General: New Castle County,NEW CASTLE,DE,Delaware,39.742977,-75.54729499999999,0,0,0,1,0,0,0,0,0,0,0,1
property-crime,Ellendale Police Department,SUSSEX,DE,Delaware,38.677510999999996,-75.335495,0,0,3,1,0,1,0,0,0,0,1,6
violent-crime,Ellendale Police Department,SUSSEX,DE,Delaware,38.677510999999996,-75.335495,0,2,0,0,0,0,0,0,0,0,1,3
