STATE,CODE,COUNTY,POPULATION,DENSITY,POP,MEDIAN INCOME,CRIME RATE PER 100k,IDNO,COUNTY POP - AGENCY REPORTING ARRESTS,COUNTY POP - AGENCY REPORTING CRIME,# COUNTY AGENCY REPORTING ARREST,# COUNTY AGENCY REPORTING CRIME,MURDER,RAPE,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,TOTAL CRIMES
Alabama,1043,Cullman,80811.0,112.63,82755,22692.0,237.59141699999998,22.0,80832.0,80859.0,3.0,4.0,2.0,16.0,13.0,161.0,483.0,1483.0,99.0,6.0,2263.0
Alabama,1015,Calhoun,116736.0,189.35,114728,26121.0,580.7976974,8.0,122213.0,118270.0,8.0,10.0,6.0,37.0,131.0,504.0,1710.0,3482.0,147.0,34.0,6051.0
Alabama,1125,Tuscaloosa,200821.0,157.33,207811,24605.0,432.22571339999996,63.0,197218.0,198003.0,7.0,9.0,10.0,56.0,234.0,568.0,1932.0,5013.0,367.0,28.0,8208.0
Alabama,1127,Walker,65998.0,80.98,64058,23665.0,443.9528471,64.0,66945.0,66929.0,10.0,10.0,2.0,16.0,56.0,219.0,780.0,1839.0,170.0,11.0,3093.0
Alabama,1051,Elmore,80902.0,132.07,81677,28967.0,284.2945786,26.0,80528.0,80484.0,7.0,8.0,4.0,23.0,44.0,159.0,665.0,1367.0,85.0,14.0,2361.0
Alabama,1055,Etowah,103931.0,191.96,102755,19861.0,513.8024266,28.0,103809.0,97544.0,10.0,8.0,2.0,45.0,126.0,361.0,1241.0,2674.0,294.0,42.0,4785.0
Alabama,1069,Houston,103668.0,179.95,104346,25153.0,401.2810125,35.0,103678.0,102780.0,9.0,9.0,7.0,42.0,108.0,259.0,1095.0,2380.0,184.0,18.0,4093.0
Alabama,1073,Jefferson,659479.0,593.25,659197,27868.0,798.3574913,37.0,686887.0,659396.0,31.0,30.0,85.0,268.0,1597.0,3315.0,9910.0,19810.0,1809.0,185.0,36979.0
Alabama,1077,Lauderdale,92797.0,138.48,92538,24553.0,262.9395347,39.0,93154.0,93154.0,8.0,8.0,3.0,28.0,55.0,157.0,612.0,1600.0,100.0,6.0,2561.0
Alabama,1081,Lee,150933.0,265.99,161604,24827.0,246.46697540000002,41.0,139698.0,144044.0,3.0,5.0,8.0,26.0,77.0,261.0,954.0,2942.0,128.0,9.0,4405.0
